Lead_ID,Source,Program_Interested,Date_Enquired,Call_Attended,Demo_Attended,Follow_Ups,Days_to_First_Contact,Counselor_Name,Lead_Score,Converted
L00001,Instagram,MBA,2025-04-05,Yes,Yes,6,0,Counselor_44,89,Yes
L00002,WhatsApp,MBA,2025-01-04,Yes,Yes,5,0,Counselor_36,45,No
L00003,WhatsApp,MA,2025-02-27,Yes,No,1,1,Counselor_45,74,No
L00004,Facebook,MCOM,2025-01-20,Yes,No,1,0,Counselor_25,32,No
L00005,Facebook,PGDM,2025-03-19,Yes,Yes,4,4,Counselor_8,68,Yes
L00006,Google Ads,BSC,2025-03-21,No,No,1,4,Counselor_13,28,No
L00007,Website,BSC,2025-01-30,No,No,0,1,Counselor_7,68,No
L00008,Google Ads,BCOM,2025-03-23,No,No,0,2,Counselor_23,46,No
L00009,Google Ads,BSC,2025-03-24,Yes,No,5,5,Counselor_16,40,No
L00010,YouTube,PGCP,2025-02-04,No,No,2,5,Counselor_36,48,No
L00011,Facebook,MBA,2025-01-30,No,No,1,3,Counselor_18,28,No
L00012,Referral,BA,2025-04-23,No,No,0,5,Counselor_32,70,No
L00013,YouTube,MCA,2025-02-03,Yes,No,5,2,Counselor_48,94,No
L00014,WhatsApp,BA,2025-02-21,Yes,No,2,4,Counselor_32,31,No
L00015,Website,MSC,2025-01-20,Yes,No,4,4,Counselor_5,69,No
L00016,WhatsApp,BA,2025-03-01,Yes,No,1,5,Counselor_47,34,No
L00017,Google Ads,BSC,2025-02-13,Yes,Yes,4,0,Counselor_47,53,No
L00018,LinkedIn,BCA,2025-04-27,Yes,No,6,4,Counselor_39,45,No
L00019,LinkedIn,PGDM,2025-04-08,Yes,No,5,0,Counselor_39,61,No
L00020,YouTube,MBA,2025-01-15,No,No,1,1,Counselor_4,50,No
L00021,Instagram,MSC,2025-04-04,Yes,Yes,5,1,Counselor_9,80,No
L00022,LinkedIn,MCOM,2025-03-09,No,No,1,1,Counselor_35,45,No
L00023,Google Ads,PGCP,2025-03-27,Yes,Yes,5,3,Counselor_8,51,No
L00024,Referral,MSC,2025-02-13,Yes,Yes,5,1,Counselor_1,29,No
L00025,Website,MA,2025-01-09,No,No,1,0,Counselor_33,50,No
L00026,Google Ads,BSC,2025-03-04,Yes,Yes,5,4,Counselor_31,51,No
L00027,YouTube,PGCP,2025-01-25,Yes,No,3,3,Counselor_27,79,No
L00028,Website,BSC,2025-03-25,No,No,0,0,Counselor_26,63,No
L00029,Instagram,MA,2025-01-25,Yes,Yes,4,1,Counselor_18,79,Yes
L00030,Instagram,BCOM,2025-04-14,No,No,2,0,Counselor_4,89,No
L00031,Website,MSC,2025-04-29,No,No,0,1,Counselor_27,82,No
L00032,YouTube,MA,2025-04-21,Yes,Yes,4,0,Counselor_25,53,No
L00033,YouTube,MCOM,2025-02-24,Yes,No,5,5,Counselor_46,82,No
L00034,LinkedIn,MA,2025-02-07,Yes,Yes,6,4,Counselor_4,60,No
L00035,Website,MBA,2025-03-16,Yes,No,5,1,Counselor_4,85,No
L00036,Instagram,MCA,2025-01-09,Yes,No,2,3,Counselor_8,92,No
L00037,Referral,BA,2025-03-18,Yes,Yes,6,4,Counselor_37,86,Yes
L00038,Google Ads,MA,2025-03-27,No,No,0,2,Counselor_26,36,No
L00039,Google Ads,BCOM,2025-02-10,No,No,0,0,Counselor_30,92,No
L00040,Instagram,MSC,2025-03-10,Yes,Yes,3,0,Counselor_16,67,Yes
L00041,YouTube,BCA,2025-04-01,Yes,No,6,4,Counselor_1,90,No
L00042,Google Ads,BSC,2025-01-14,No,No,0,2,Counselor_8,33,No
L00043,LinkedIn,MCOM,2025-02-06,Yes,No,2,5,Counselor_41,53,No
L00044,YouTube,MCOM,2025-04-26,No,No,0,0,Counselor_41,74,No
L00045,Google Ads,MBA,2025-01-01,Yes,Yes,3,1,Counselor_48,76,No
L00046,WhatsApp,BCA,2025-01-02,Yes,No,6,1,Counselor_35,24,No
L00047,Facebook,BA,2025-03-12,Yes,Yes,3,2,Counselor_3,65,Yes
L00048,Referral,BSC,2025-01-14,Yes,Yes,4,4,Counselor_48,39,No
